MBKOM;NAKOM;SNKOM;RBGR;ADKOM
1000957;NISSAL;NISSAL;01759;
1000958;PUP TEHNOOPREMA;PUP TEHNOOPREMA;02895;
1000959;NEMINIK BEOGRAD;NENENIK;00159;
1000944;M2-DOO PALANKA;M2;02450;
1000933;MG KOMERC BEOGRAD;MG KOMERC;00159;
1000934;BLONDY KOMPANY ZEMUN;BLONDY KOMPANY;03120;
1000943;N STIL NOVI SAD;N STIL;01796;
1000946;KRYOGAS BEOGRAD;KRYOGAS;00159;
1000948;OMNI PROMET BATAJNICA;OMNI PROMET;00114;
1000938;BOMID CUPRIJA;BOMID;00497;
1000939;TKL STAFIL BEOGRAD;TKL STAFIL;00159;
1000936;KADEN COMMERCE BEO 255-13790101000-62;KADEN COMMERCE;00159;
0003760;FABRIKA KABLOVA ZAJECAR;FAB.KABLOVA;03099;
1000932;SZR CELIK;SZR CELIK;02450;
1000858;MOTO-SERVIS-MC PALANKA;MOTO-SERVIS;02450;
1000989;STEVANOVIC-INVEST KRUSEVAC;STEVANOVIC;01325;
1000969;KONSTRUKTOR-BARAJEVO;KONSTRUKTOR;00095;
0003844;S.A.R.CVETKOVIC GRADA zan.radnja;GRADA;02450;B.Krsmanovica br.6
0000719;NIKAL d.o.o.;NIKAL;02450;Majora Gavrilovica bb
1000865;INTERFILTER ZEMUN;INTERFILTER;03120;
1000866;GALENIKA KLIRIT BEOGRAD;GALENIKA;00159;
1000867;MIAMI KRAGUJEVAC;MIAMI;01255;
1000868;MOTOKOMERC BEOGRAD;MOTOKOMERC;00159;
1000888;O.T.R AUTO CENTAR;O.T.R. AUTO CENTAR;02450;
1000782;UNIHENKOM;UNIHENKOM;01796;
1000889;SZR PR I PROD POGR OPR KRASIC PALANKA;SZR KRASIC;02450;
1000899;DERBES CO GROCKA;DERBES;00888;
1000898;ELEKTRONINVEST NIS;ELEKTRONINVEST;01759;
1000897;INGMER UZICE;INGMER;02857;
1000896;SIGMA MERC BEOGRAD;SIGMA MERC;00159;
1000895;POLIFORM VALJEVO;POLIFORM;02862;
6003139;VIDEOTEHNIKA-PP ZA TEHNOL SOPOT;VIDEOTEHNIKA;00159;
0003934;NOVI DOM STOLARIJA-DEBELJACA.PANCEVO;NOVI DOM STOLARIJA;01927;Svetozara Markovica 62
1000894;SZR PAUNOVIC RADOJICA PALANKA;SZR PAUNOVIC;02450;
1000893;KOMES KRAGUJEVAC -BEOGRAD;KOMES KRAG;01255;
0003962;SIGMA-KOMERC Mladenovac;SIGMA-KOMERC;01673;S.Kovacevica 65
1000891;ZIMBOS COMMERCE BEOGRAD;ZIMBOS;00159;
1000892;FH D.O.O.MEDICINSKE OPREME BEOGRAD;FH;00159;
1000810;OPTIMA MODRICA BEOGRAD;OPTIMA;00159;
1000987;STR KATARINA CEROVAC;STR KATARINA;03209;
1000986;METALAC KOVACEVAC;METALAC;01242;
1000997;DOO INTERKOLOR NOVI SAD;DOO INTERKOLOR;01796;
1000688;HK-JUGOPETROL;HK-JUGOPETROL;02450;
0000357;DP ZMAJ;ZMAJ;02449;Dj.Strugara 16
1000687;ELEKTROPLAST DUKIC DEJAN STARA PAZOVA;ELEKTROPLAST;02522;
1000777;SZTR CAN PALANKA;SAN;02450;
1000778;TEHNI COM BEOGRAD;TEHNI COM BEOGRAD;00159;
1000583;VUJIC METAL N BEOGRAD;METAL VUJIC;00159;
1000584;SERVIS IMPORT NOVI SAD:;SERVIS IMPORT;01796;
1000566;ISKRA KONTAKTOR BEOGRAD;ISKRA KONTAKTOR;00159;
1000568;INOMAG BACKA TOPOLA;INOMAG;00043;
1000569;IGORPROMET KOVACEVAC 220-8474-84;IGORPROMET;01242;
1000579;MARKPROM  BEOGRAD;MARKPROM;00159;
1000788;NIN;NIN;00159;CETINJSKA 1
1000587;NIT BEOGRAD;NIT;00159;
1000574;DV ENGINEERING BEOGRAD;DV ENGINEERING;00159;
1000785;HK- DUGA;DUGA;00159;
7586826;GOSA STAN;GOSA STAN;02450;
1000756;VISNJA PALANKA;VISNJA;02450;
0004037;M C I  Zrenjanin;MCI;03147;Gimnazijska br.3
1000856;ZAMBONI VELIKA PLANA;ZAMBONI;02895;
1000857;INTERMEX BEOGRAD;INTERMEX;00159;
1000759;UZARSKA RADNJA VELICKOVIC PALANKA;UZARSKA RADNJA VEC;02450;
1000883;LIVGAL SMEDEREVO;LIVGAL;02449;
0001055;TERMOELEKTRANA  B ;TERMO;01817;
1000697;TURIST SAVEZ OPSTINE PALANKA;T.S.O;02450;
1000698;ENCRE BEOGRAD;ENCRE;00159;
1000699;IGNJATIKOM GLIBOVAC;IGNJATIKOM;00777;
1000797;DONIC DOO VELA PLANA 160-35767-57;DONIC DOO;02895;MILOSA VELIKOG 93
1000692;PP APOTEKA STARI MOST PALANKA;STARI MOST;02450;
1000739;STEFANOVIC PALANKA;STEFANOVIC;02450;
3000577;NIS JUGOPETROL-NAFTA;NIS JUGOPETROL;00159;Milentija Popovica br.1
7150913;ZASTAVA TAPACIRNICA KRAGUJEVAC;ZASTAVA;01255;
7715914;PREV PRED PARKET DONJA BORINA;PARKET;00587;
1000786;"UMBRA Software d.o.o.275-8485-25;";UMBRA;00159;SANSKA 26
1000787;DET Norska;DET;00159;
1000598;WALL COMERC JAAGODINA;WALL;00997;
1000599;BG TEAM BEOGRAD;BG TEAM;00159;
1000597;FEMAN JAGODINA;FEMAN;00997;
1000596;2 M SRE KNJIZARA PALANKA;2 STR KNJIZARA;02450;
1000695;SZR TRIMEKS PALANKA;SZR TRIMEKS;02450;
1000593;INTERSILVER ZEMUN 355-1014610-61;INTERSILVER;03120;
1000732;GENEKL NOVI SAD;GENEL;01796;
1000734;STR ZVEZDA 275-0010222912340-81;STR ZVEZDA;02450;GLAVASEVA 74/3
1000731;VUNIZOL DO SURDULICA;VUNIZOL;02601;
1000791;ZVEZDA GORNJI MILANOVAC;ZVEZDA;00837;
3004094;FGM TRUDBENIK;FGM TRUDBENIK;02828;Obrenovacki put bb
1000996;PREMIL VALJEVO;PREMIL;02862;
1000691;MEDIA ZEMUN-BEOGRAD;MEDIA;00159;
1000789;DD BEGEJ ZRENJANIN;BEGEJ;03147;
1000758;PRAGMA PALANKA;PRAGMA;02450;
1000768;MARMIL TENDE KRAGUJEVAC;MARMIL TENDE;01255;
1000767;METALEXPORT d.o.o. 355-1001210-06;METALEXPORT;00159;PANCEVACKI PUT 68 B
1000769;APLIKON SM PALANKA;APLIKON;02450;
1000755;SIGET SABAC;SIGET;02625;
1000694;HARMO ENT KRAGUJEVAC;HARMO;01255;
1000752;INTERNATIONAL  BEOGRAD;INTERNATIONAL;00159;
1000764;DOO TRISPAN PANCEVO;TRISPAN;01927;
1000763;GENERAL KRAGUJEVAC;GENERAL;01255;
1000761;GIMNAZIJA PALANKA;GIMNAZIJA;02450;
1000805;GLAVUPDK - Moskva;GLAVUPDK;00159;
1000806;DELFIN RUSIJA;DELFIN;00159;
1000807;BOGNER AUSTRIJA;BOGNER;00159;
1000808;NOVOKUCNJECK;NOVOKU;00159;
1000809;KEMPI FINSKA;KEMPI;00159;
1000981;AUTO SERVIS SEVIC 160-53469-10;SEVIC;02753;
1000999;BENZINSKA PUMPA MADERA CUPRIJA;MADERA;00497;
3000203;D.P. INTEX Mladenovac;INTEX;01673;ul.Kralja Petra I 334
3004133;S.P.T.R. GAM Palanka;GAM;02450;ul.B.Copica b.b.
1000738;DP PROKUPAC BEOGRAD;PROKUPAC;00159;
1000992;HOTEL NOVI SAD;HOTEL;01796;
1000887;MINOAN BEOGRAD;MINOAN;00159;
1000882;PROKUS NIS;PROKUS;01759;
1000884;AT PALANKA;AT;02450;
1000942;AGH GADZIN HAN 105-401-87;AGH;01759;
1000881;STR SERVIS FRIGO SISTEMI PALANKA;FRIGO;02450;
1000886;SIGMA INZINJERING PALANKA;SIGMA;02450;
1000885;MAZESTIK BEOGRAD;MAZESTIK;00159;
1000879;TRI GROZDA BEOGRAD;TRI GROZDA;00159;
1000874;INEH COMPANY BEOGRAD;INEX;00159;
1000950;NELT LTD;NELT;00159;
1000993;LENKO COMPANY N BEOGRAD;LENKO;00159;
1000994;DINIC PALANKA;DINIC;02450;
1000995;FOTO KARIC RACA KRAGUJEVACKA;FOTO KARIC;02188;
1000998;SRBIJATEKKS BEOGRAD;SRBIJATEKS;00159;
1000990;FAR PROMET VALJEVO;FAR PROMET;02862;
1000979;COMPO SVILAJNAC;COMPO;02620;
1000978;ART HOBBY BEOGRAD;ART;02620;
0003389;Z.M.R.TEHNOMETAL;TEHNO;02753;Zabare
1000951;LESKOTURS;LESKO;01413;
1000832;TEKSTIL TRG PRED NIS;TEKSTIL;01759;
1000839;OSR ZLATNA UDICA;ZLATNA UDICA;02450;
1000837;RAS TURIST SERVIS;RAS;00159;
3004225;PLANIT NOVA PAZOVA 340-1101104063,,;PLANIT;01772;VOJVODE MISICA 5
3002558;CENTAR ZA RAZVOJ SPORTA;SPORT;02450;Vuka Karadzica 25
1000753;"MINOR D.O.O 160-311692-80;";MINOR;03120;GRIGORIJA BOZOVICA 28
1000750;SAVA TENT OBRENOVAC;SAVA TENT;01817;
1000751;APOTEKA HIGIJA PALANKA;APOTEKA HIGIJA;02450;
1000743;VASKOM BORCA;VASKOM;00253;
1000741;OPEL SERVIS SAVA KRAJINOVIC N BEOGRAD;OPEL SERVIS;00159;
3002519;GRAVING Smed.Pal 355-1025888-80;GRAVING;02450;Branka Copica bb
1000722;OPEL SERVIS SZAMR MILJEVIC;OPEL SERVIS;01661;
3004261;AUTOGLOBAL d.o.o. Priboj;AUTOGLOBAL;02135;
1000723;"AUTOCENTAR IVKOVIC 2000 205-187087-69;";AUTOCENTAR;02450;KARADJORDJEVA 22
1000724;JUGOHEMIJA BEOGRAD;JUGOHEMIJA;00159;
1000728;TEHNICKI FAKULTRT ZRENJANIN;TEHNICKI FAKULTET;03147;
1000721;STUR KENI PALANKA;KENI;02450;
1000729;INTERNET CD KLUB PALANKA;INTERNET;02450;
1000821;SAVAX VALJEVO;SAVAX;02862;
1000812;OGNEUPORKOKSSERVIS;OGNE;00159;MOSKVA
1000940;STR PERGAMENA PALANKA;STR PERGAMENA;02450;
1000931;ACM AUTOSERVIS BEOGRAD;ACM AUTOSERVIS;00159;
1000863;MILAN DJOKIC BEOBANKA BEOGRAD;MILAN;00159;
1000962;STR ORHIDEJA PALANKA;ORHIDEJA;02450;
1000964;HOTEL SRBIJA BEOGRAD;HOTEL SRBIJA;00159;
1000937;MEDJUNARODNA SPEDICIJA VINS BEOGRAD;VINS;00159;
1000967;ELTUS NIS;ELTUE;01759;
1000971;BRACA DJUKIC BEOGRAD;BRACA DJUKIC;00159;
1000983;AUTOM RADNJA CVETKOVIC GRADIMIR INV VODI;CVETKOVIC;03000;
1000945;TEKON MB BEOGRAD;TEKON;00159;
1001001;ROPE COMPANY N BEOGRAD;ROPE;00159;
1001002;DP GEOPROJEKT NIS;GEOPROJEKT;01759;
1001003;KAMILICA APOTEKA BEOGRAD;KAMILICA;00159;
1001004;STR PERGAMENA PALANKA;PERGAMAMENA;02450;
1000811;SEMPERIT;SEMPERIT;00159;AUSTRIJA
1000814;INTERKOM BEC AUSTRIJA;INTERKOM;00159;AUSTRIJA
1001005;EI FERITI ZEMUN;FERITI;03120;
1001006;INFOCENTAR GREJANJE ZEMUN;INFOCENTAR;03120;
1001007;METALPREVOOZ  BATOCINA;METALOPREVOZ;00116;
1001008;"VEMIX d.o.o. 170-30007842001-47;";VEMIX;02450;I SRPSKOG USTANKA 2
1001009;MANOJLOVIC G Z BEOGRAD;MANOJLCVIC;00159;
1000820;RJ BITOLJ;RJ BITOLJ;02419;MAKEDONIJA
1000813;PREDSTAVNISTVO MOSKVA;PREDSTAVNISTVO MA;03259;MOSKVA
1000560;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA;00159;
1000570;DUNAVKA -V.GRADISTE;DUNAVKA;02915;
1000580;JP PK KOSTOLAC;KOSTOLAC;01232;
1001012;KRALJ RESTORAN PALANKA:;KRALJ;02450;
1001013;LENEX GROUP BEOGRAD;LENEX;00159;Igmanska br.8
1001014;NAUCNA IZD TRG PRE BEOGRAD;NAUCNA;00159;
1001015;BIBA STRUJA PALANKA;BIBA;02450;
1001017;ASTING BEOGRAD;ASTING;00159;
1001018;VANLINISKI PREVOZ PUTNIKA BILANOVIC MOMC;VANLINISKI;02450;
1001019;APOTEKA ZRENANIN HOSPITALIJA ZRENJANIN;APOTEKA;03147;
1001020;BG SAM ZAN TRG RAD BEOGRAD;BG;00159;
1001021;ISELISKRA ELEKTRONIK BEOGRAD;ISEL;00159;
1001022;RUDO BEOGRAD;RUDO;00159;
1001023;SAMOS  N BEOGRAD;SAMOS;00159;
1001024;VUCIRID DOO PALANKA;VUCIRID;02450;
1001025;INTER PROGRAS BEOGRAD;INTER PROGRES;00159;
1001026;SZTR STOLE I SASA  170-50013820000-86;STOLE;02450;VOJVODE PUTNIKA 27
1001027;LAV TRADE BEOGRAD;LAV;00159;
1000815;SEATRA LTD;SEATRA;00159;MARSALLS ISLANDS
1000816;TRANSPED MAG LTD;TRMAG;00159;MARSALS ISLANDS
1000817;TRANS CARGO LOGISTIC AUSTRIJA;TCL AUSTRIJA;03254;
1000818;PRIMARY INTER KANADA;PRIMARY INTER;00159;UKRAJINA
1000819;SPEDAL;SPEDAL;00159;BEOGRAD
1001028;VOLF METALIKA Z VOJKA 205-52390-58;VOLF METALIKA;03007;
1001029;AGENCIJA IKOS NOVI SAD;IKOS;01796;
1001030;BCD INZINJERING BEOGR-ZEMUN;BCD INZINJERING;03120;
1001031;"Termovent SC-Livnica celika A.D. ;";TERMOVENT;00043;INDUSTRIJSKA b.b.
1000823;HE PIVA;PIVA;02011;PLUZINE
1000824;REDUKTORI ZA IRAK;IRAK;00159;IRAK
1000825;TBX BELGIJA;TBX;00159;BELGIJA
1000826;MAN TAKRAF;MAN TAKRAF;00159;TAKRAF
1001032;HILAND DOO NIS;HILAND;01759;
1001033;FAKULTER ZASTITE NA RADU NIS;FAKULTET;01759;
1001034;VOJNOMEDICINSKA AKADEMIJA BEOGRAD;VOJNOMEDICINSKA AK;00159;
1001035;TM SZR BEOGRAD;TM SZR;00159;
1001036;SAVEZ INZINJERA I TEH ZA ZAS MATER JUGOS;SAVEZ;00159;
1001037;ASTEL CO DOO PALANKA;ASTEL;02450;
1001038;AGROTEHNA PROMET NOVI SAD;AGROTEHNA;01796;
1001039;SUCA TRADE KRAGUJEVAC;SUCA TRADE;01255;
1001040;PRIMA ESTRADA SPORT TURIZAM NOVI SAD;PRIMA;01796;
1001041;HEMOSLAVIJA NOVI SAD;HEMOSLAVIJA;01796;
1001042;DSS PRED EHP IMPORT SA DOO SVILAINAC;DSS;02620;
1001043;KASTOR PUTOVANJA BEOGRAD;KASTOR PUTOVANJA;00159;
1001044;"J&V FINISHING d.o.o. 160-1160-88;";J & V FINISHING;00159;FRANCUSKA 32A
1001045;DINAMIK KOMERC BEOGRAD;DINAMIK KOMERC;03120;
1001046;DOO UNIJAPLAST PALANKA;DOO UNIJAPLAST;02450;
1001047;KAPETANSKI RIT KANJIZA;KAPETANSKI RIT;01093;
1001048;AUTOPREVOZNIK RAD DRAGAN SRBOBRAN;AUTOPR;02487;
1001049;M SERVIS ZA PR VOZILA 310-156219-66;M SERVIS;02450;
1001050;"ZTR TEHNONESAL  150-3200310001449-77;";NESAL;01616;
1001051;SUR KAFE 3 B PALANKA;KAFE;02450;
1001052;DELTA ESPERO BEOGRAD;DELTA ESPERO;00159;
1001053;ROLING WORLD BEOG265-1100310000146-96;ROLING WORLD;00159;
1001054;ZC POZAREVAC;ZC POZAREVAC;02098;
1001055;GOMID IVANJICA 205-8183-80;GOMID;00977;
1000827;REK BITOLA;REK BITOLA;02419;MAKEDONIJA
1001056;PALFLEH HIDROULIKA PALANKA;PALFLEH;02450;
1000828;METALOTEHNA;METALOTEHNA;01791;BOSNA
1001057;SZR D & S V PLANA;SZR D & S;02895;
3000932;DPS CEMENTARA NOVI POPOVAC;DPS CEMENRARA;02074;Popovac-Paracin
1001058;ALEKSANDAR EKL REST ARANDJELOVAC;ALEKSANDAR;00022;
1001059;APOTEKA SVETI SAVA SMEDEREVO;SVETI SAVA;02449;
1001060;INTELKOM TV-AUDIO-VIDEO-SERVIS PALANKA;INTELKOM;02449;
1001061;UDRUZENJEN CRNE METALURGIJE BEOGRAD;UDRUZENJE CRNE MET;00159;
1000829;TOMIC RADOSLAVA;TOMIC;02450;radni FOM-AR
3004579;GRAPPS AD;GRAPS;02449;
1001063;PLANA PROMET V PLANA;PLANA PROMET;02895;
1001064;NARODNA RADINOST COMMERC BEOGRAD;NARODNA RADINOST;00159;
1000830;ALFA PROTEIN VRSAC;ALFA PROTEIN;03064;
1000831;GOSA ENGINEERING UND HANDEL;GEH;00159;NEMACKA
1001062;SZTR ROTOR MLADENOVAC;ROTOR;01673;
1001065;BeoAlarm BEOGRAD;BEOALARM;00159;
1000822;FEROGLOBUS MADJARSKA;FEROGLOBUS;00159;
1000833;AUTINOR;AUTINOR;00159;AVELIN,FRANCE
1000834;BANJANIN STEVAN;BANJANIN;02450;radnik FAM-a
1001066;METALOSTR I MAS.RADNJA KOVACEVIC DRAGAN;KOVACEVIC DRAGAN;02862;Milana Kitanovica 40
1001067;PP za unutrasnju trg. M I;M I;00159;07529023
1001068;"SZ Metalostrugarska radnja TALE;";TALE;02862;RADJEVO SELO b.b.
1001069;SZR CORY-SERVIS RAGUJEVAC;CORY SERVIS;01255;
1001070;KODA TRAVEL AGENCY BEOGRAD;KODA;00159;
1001071;BIRO EX BEOGRAD;BIRO EX;00159;
1001072;BIRO TEMPO BEOGRAD;BIRO TEMPO;00159;
1001073;AUTOKOMERC VRBAS;AUTOKOMERC;03038;
1001074;DYNAMIC AUTO BEOGRAD;DYNAMIC;00159;
1001075;LUKS ARAN 145-826-19;LUKS;00022;
1001076;MAS.BRAVARSKA RADNJA N.N.;M.B.R. N.N.;02450;Glibovac
1001077;HEMIVOD VALJEVO;HEMIVOD;02862;
1001078;AURIS BEOGRAD;AURIS;00159;
1001079;SPEC ZAV ZA ORTOP KRUSEVAC;ZAV ZA ORT;01325;
1001080;SAMDRIMA SOPOT;SAMDRIMA;02471;
1001081; VERIGA BEOGRAD345-5001705937801-30; VERIGA;00159;
1001082;KMD MOTOR TEAM BE 205-13385-91;KMD MOTOR TEAM;00159;
1001083;RESTORAN MB 355-1010082-65;RESTORAN MB;01673;KOSMAJSKOG ODREDA 111/B
1001084;JUHOR SAM CETKAR RADNJA STOJKO PARACIN;JUHOR;01930;
1001085;FERO PROMET PARACIN155-155-9846-57;FERO PROMET;01930;
1001086;BORAC BEOGRAD;BORAC;00159;
1001087;DRUSTVO ZA INTEGRIT I VEK KONSTR BEOGRAD;DIVK;00159;KRALJICE MARIJE 16/V
7586827;GOSA STAN KRED PALAN;G STAN;02450;
1001088;REKORD BRVENIK;REKORD BRVENIK;00360;
1000840;SER.FIRM R&D INSTITUT;R&D;00159;TIMISOARA-ROMANIA
1001089;STR CAIROVIC 355-1067374-73;CAIROVIC;02450;
1001090;PIGA PAL 260-0116850002396-50;PIGA;02450;
1000841;ZDAS-CESKA;ZDAS;00159;CESKA
1000842;NOWOTRADE NEMACKA;NOWO;00159;AUTOMATIKA
1001091;VAZDUHOPLOVNI ZAVOD M.STANOJEVIC;VAZDUHOPLOVNI ZAVD;00114;BATAJNICA
1001092;YOMI BEOGRAD;YOMI;00159;
1001093;DOO PELIKAN PEC KRAGUJEVAC;PELIKAN;01255;
1001094;YUMKO  VRANJE;YUMKO;03023;
1001095;TRANSKOMERC DOO ZA TRAN SPED SMEDEREVO;TRANSKOMERC;02449;
1001096;"WAGNER BEOGRAD D.O.O.;";WAGNER;00159;VIDIKOVACKI VENAC 29/21
1001097;ZD ELEKTRONIK DOO PR ZA SER BEOGRAD;ZD ELEKTRONIK;00159;
1001098;IVKOVIC MILIVOJE AZANJA;I.M.;00030;
1001099;"WURTH BEOGRAD 175-3001615-36;";WURTH;00159;
1001100;HANPLAST VLADICIN HAN;HANPLAST;02983;
1001101;NA-MA PALANKA;NA-MA;02449;
1001102;ROZIR DOO TR GRA PRE PALANKA;ROZIR;02450;
1001103;LOG TRADE BEOGRAD 205-13824-35;LOG TRADE;00159;
1001104;METALOPRERADJIVACKA RADNJA OPRUGE PAVLOC;OPRUGE PAVLOVIC;02862;
1001105;C T I CONGRES TRAVEL BEOGRAD;C T I;00159;
1001106;TABSOL DOO PR ZA PR I TRG BEOGRAD;TABSOL;00159;
1000965;MOST LAPOVO;LAPOVO;02895;
1000843;SC KOST ROMANIA;SC KOST;00159;RUMUNIJA
1000844;GIACOMELLO ITALIJA;GIACOMELLO ITALIA;00159;ITALIJA
1001107;VIP MOBILE D.O.O. 265-1110312345678-24;VIP;00159;MILUTINA MILANKOVICA 1Z
1001108;MOS PR ZA INZINJ PROJEK BEOGRAD;MOS;00159;
0001109;slpbodna;CIGLANA;01586;
1001109;CIGLANA-Markovac;CIGLANA;01586;
0000966;MONTAZA-LUKA;MONTAZA-LUKA;02450;
1000968;MONTAZA-MOST LAPOVO;MONTAZA-MOST LAPOO;02450;
1001111;MONTAZA-BUNKERI;MONTAZA-BUNKERI;02450;
1000966;MONTAZA-LUKA;MONTAZA-LUKA;02450;
1000845;FAM MAGDEBURG;FAM MAG;00159;NEMACKA
1001110;KONDOR SMEDEREVO;KONDOR;02449;
1001112;SZR KOLTEX SYSTEM BEOGRAD;KOLTEX;00159;
1001113;PROIZVODNO USLUZNI CENTAR BOBAN BEOGRAD;BOBAN;00159;
1001114;DOO VATROPAN PANCEVO;VATROPAN;01927;
3004810;FIBRA Beograd;FIBRA;00159;Ivana Milutinovica 85
1000875;STEEL BEOGRAD;STEEL BE;00159;
1000859;HOPSR HOTEL PSRK 250-1020000935030-97;HOTEL PARK;00159;
1000860;MOTEL PATRIA SUBOTICA;MOTEL PATRIA;02586;
1001115;RAST PROMET MLADENOVAC;RAST;01673;
1000846;SLV MINHEN;SLV;00159;NEMACKA
1000869;TRAVEL CENTAR BEOGRAD;TRAVEL CENTAR;00159;
1000870;BROD RESTORAN DIJALOG BEOGRAD;DIJALOG;00159;
1000849;STR SRDAN KOLOR PALANKA;STR SRDAN KOLOR;02450;
1000853;AUTOMEH RADNA CVETKOVIC GRADIMIR PALANKA;AUTOMEHANICARSKA R;02450;
1000878; N & K JAGODINA;N & K;00997;
1000836;AUTOSERVIS BOSKOVIC SLAVISA VELIKA PLANA;AUTOSERVIS;02895;
1000847;KVAERNER IMGM RUMUNIJA;KVAERNER;00159;RUMUNIJA
1000848;VERLAG MODERN INDUSTRIES;VERLAG;00159;NEMACKA
1000850;ICT AUTOMATIKA nemacka;ICT AUTOMATIKA;00159;NEMACKA
1000976;KONTO FUTOG;KONTO;00753;
1000737;IIS ISTRAZIVACKI I TEH CENTAR NOVI SAD;IIS;01796;
1000783; ELEKTO TEHNIKA PA 160-109562-26;ELEKTRO TEHNIKA;02450;
1000927;DRAMADRA BEOGRAD;DRAMADRA;00159;
1000928;JANKO SR ZA PLET ZICE SMEDEREVO;JANKO;02449;
1000216;MERAK PALANK;MERAK;02450;
1001171;ML DON BEOGRAD;ML DON;00159;
1001199;pp;;00003;h
1001119;ALEX INTERNACIONAL BEOGRAD;ALEX;01759;
1001120;HUTP PRAG BEOGRAD;HUTP PRAG;00159;
1001121;AUTO SALE PALANKA;AUTO SALE;02450;
1001129;ATM BG BEOGRAD;ATM BG;00159;
1001130;ZELEZNIKA STANICA;STANICA;02450;
1001131;RADOVANOVIC MIODRAG;MIODRAG;02450;
1001132;JOVANOVIC BOGOSAV;BOGOSAV;02450;
1001133;LIFAM M BEOGRAD;LIFAM M;00159;
1000851;CONEY SHIPP LTD;CONEY;00159;KIPAR
1000852;TEH.SISTEMI SLOVENIJA;TEH.SISTEMI;00159;SLOVENIJA
1001134;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA;01389;
1001135;MEGALEX BEOGRAD;MEGALEX;00159;
1001136;KOPED LIVNICA NIS;MIN;01759;
1001137;MILESEVKA BEOGRAD;MILESEVKA;00159;
1001138;AMA KOMERC BEOGRAD;AMA KOMERC;00159;
1001139;JO-GO DESING STUDIO BEOGRAD;JO-GO;00159;
1001140;"MEGAMARKET PALANKA;";MEGAMARKET;02450;
1001141;ELMIS PALANKA;ELMIS;02450;
1001160;BALKANIK VALJEVO;BALKANIK;02862;
7317283;S.VOZILA-KOSTOLAC;S.VOZILA-KOSTOLAC;02450;
1001146;MIN LIVMIN NIS;LIVMIN;01759;
1001152;MAGICMAR PALANKA;MAGICMAR;02450;
1001116;MAKSI PEROL 205-4345-51;MAKSI PETROL;02450;VODICE
1001117;DISIN D 325-9500900013086-27;DISIN D;00159;Brace Jugovica 21/V
1001165;CEMENTARA KOSJERIC;CEMENTARA;01220;
1001118;D.O.O. NASA SLOGA;NASA SLOGA;01248;Ul. S.Markovica br.135
0001000;FILBING TRADE BEOGRAD;FILBING;00159;
0001001;INTERPROMET PALANKA;INTERPROMET;02450;
0001002;JAIKO SZR VRNJ BANJA;JAIKO;03058;
0001003;SOLAR CACAK;SOLAR;00440;
0001004;TTCARGO BEOGRAD;TTCARGO;00159;
0001005;KILER SZR SARCEVIC MLADENOVAC;KILER;01673;
0001006;OPEL KOMNENOVIC AUTO SPORT BEOGRAD;OPEL;00159;
0001007;SKOLA RACUNARSTVA CET BEOGRAD;SKOLA RACUNARA;00159;
1000855;JP EPS Ogranak Kolubara Lazarevac;KOLUBARAMETAL;03049;VREOCI
0000053;BOJANA 160-337886-68;BOJANA;03000;
0000054;ICM ELEKTRONICS NOVI SAD;ICM;01796;
0000055;ICS ZA PR INZ INFO BEOGRAD;ICS;00159;
1000021;BEOGRADSKE ELEKTRANE;BEOGRAD;00159;
0000058;AUTO STYLE IGOR NOVOVIC BEOGRAD;AUTO STYLE;00159;
1000854;KRAIS BIRO;KRAIS BIRO;00159;NEMACKA
0000057;DUKING PP ZA GRADJEVINSKE USL PALANKA;DUKING;02450;
0000059;STEVCEVIC -SERVIS BEOGRAD;STEVCEVIC;00159;
0000105;L ARCOBALENO V STOJ;ARCOBALENO;02450;
0000106;FARING BEOGRAD;FARING;00159;
0000107;LOLA INFORM BEOGRAD;LOLA INFORMA;00159;
0000108;CENTROHEMIJA KOMERC BEOGRAD;CENTROHEMIJA;00159;Admirala Geparta 8-a
0000110;CNC ELEKTRONIC NIS;CNC ELEKTRONIC;01759;
0000103;SIE PR ZA PR I USLUGE;SIE;00159;
0000150;CAREVA CUPRIJA BEOGR;CAREVA CUPRIJA;00159;
0000157;SUDSKI TUMAC ZA ENGLESKI PALANKA;SLJIVIC;02450;
0000158;ZLATIC PALANKA 170-30008433000-16;ZLATIC;02450;
0000153;HI HIPOL DDZACI;HIPOL;01824;
1000861;IPSEN NEMACKA;IPSEN;00159;RUMUNIJA-TER.OBRADA
1000862;SINDICATO ENERGETICO;SIDIKATO;00159;PERU
1001000;ROTECH;ROTECH;00159;USTANICKA 148 STAN 63
0000160;MALLAC-TRADE SMEDEREVO;MALLAC-TRADE;02449;
0000162;KONVEX ELECTRIC D.O.O 205-177922-16;KONVEX;00159;Autoput za Novi Sad 110b
0000163;VOLVOKS BEOGRAD;VOLVOKS;00159;
1004520;MITROVIC DUSAN;DUSAN;02450;
1005000;MLIN  SUMADIJA - D.GAJIC KUSADAK;KUSADAK;01357;
0000164;"ULIS DOO 170-30026740000-28;";ULIS;02450;JASENICKA 31
0000165; L & O PALANKA;L & O;02450;
0000166;APP GROUP;GROUP N BEOG;00159;
0000167;AUTO SERVIS PLANA;AUTO SERVIS;02895;
1000864;GELAI&CASTEGNARO;GELAI;00001;ITALIJA
